,stn,TC,sum,lat,lon
88,GP15_3_8,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,47.00009,-151.99986
89,GP15_3_9,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,44.50019,-151.99984
90,GP15_3_10,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,41.99998,-151.99985
91,GP15_3_12,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,37.00007,-152.00017
92,GP15_3_14,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,32.00006,-151.99991
93,GP15_3_15,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,29.5003,-152.0005
94,GP15_3_16,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,26.99984,-152.00004
95,GP15_3_18,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,22.00015,-152.00005
96,GP15_3_18-3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,19.68113,-154.51301
97,GP15_3_19,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,17.49998,-152.00007
98,GP15_3_21,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,11.00013,-152.00001
99,GP15_3_23,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,7.52686,-152.01638
100,GP15_3_25,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,5.01547,-152.333
101,GP15_3_27,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,2.49982,-152.01363
102,GP15_3_29,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,0.032,-152.01378
103,GP15_3_31,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-2.50475,-152.00003
104,GP15_3_33,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-4.99972,-152.0347
105,GP15_3_35,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-10.49975,-151.99948
106,GP15_3_37,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-14.9986,-151.99808
107,GP15_3_39,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-19.99443,-152.09907
108,GP17-OCE_3_1,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-19.9999,-152.0003
109,GP17-OCE_3_3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-24.9996,-151.25
110,GP17-OCE_3_6,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-32.5,-150.0012
