,stn,cog,sum,lat,lon
327,GP17-OCE_3_20,AK,0.0,-57.6014,-144.8581
328,GP17-OCE_3_22,AK,1.3045256509645208e-05,-59.9971,-143.9992
329,GP17-OCE_3_25,AK,2.791928621491135e-05,-66.9998,-134.9994
330,GP17-OCE_3_27,AK,0.0002111043451187,-67.0003,-115.0079
331,GP17-OCE_3_32,AK,0.0002122554117142,-59.9984,-82.4956
332,GP17-OCE_3_33,AK,0.00010123868940425201,-57.0001,-78.9996
333,GP17-OCE_3_35,AK,2.2612301643825535e-05,-54.3512,-76.5493
334,GP17-OCE_3_37,AK,0.0,-53.4991,-75.751
335,GP17-OCE_3_38,AK,0.0,-52.7019,-75.0972
336,GP15_3_3,AL,0.0,55.08013,-155.72003
337,GP15_3_4,AL,0.0,55.07994,-155.72033
338,GP15_3_5,AL,2.5669924337894797e-05,53.68004,-153.79988
339,GP15_3_6,AL,2.7756854299833857e-05,52.00014,-151.99978
340,GP15_3_8,AL,0.0,47.00009,-151.99986
341,GP15_3_9,AL,0.0,44.50019,-151.99984
342,GP15_3_10,AL,0.0,41.99998,-151.99985
343,GP15_3_12,AL,0.0,37.00007,-152.00017
344,GP15_3_14,AL,0.0,32.00006,-151.99991
345,GP15_3_15,AL,0.0,29.5003,-152.0005
346,GP15_3_16,AL,0.0,26.99984,-152.00004
347,GP15_3_18,AL,0.0,22.00015,-152.00005
348,GP15_3_18-3,AL,0.0,19.68113,-154.51301
349,GP15_3_19,AL,0.0,17.49998,-152.00007
350,GP15_3_21,AL,2.1228807149658502e-05,11.00013,-152.00001
351,GP15_3_23,AL,0.0,7.52686,-152.01638
352,GP15_3_25,AL,0.0,5.01547,-152.333
353,GP15_3_27,AL,0.0,2.49982,-152.01363
354,GP15_3_29,AL,8.71220859654089e-05,0.032,-152.01378
355,GP15_3_31,AL,0.0,-2.50475,-152.00003
356,GP15_3_33,AL,0.0,-4.99972,-152.0347
357,GP15_3_35,AL,0.0,-10.49975,-151.99948
358,GP15_3_37,AL,0.0,-14.9986,-151.99808
359,GP15_3_39,AL,0.0,-19.99443,-152.09907
360,GP17-OCE_3_1,AL,0.0,-19.9999,-152.0003
361,GP17-OCE_3_3,AL,0.0,-24.9996,-151.25
362,GP17-OCE_3_6,AL,0.0,-32.5,-150.0012
363,GP17-OCE_3_8,AL,0.0,-37.5001,-149.2803
364,GP17-OCE_3_10,AL,0.0,-42.5003,-148.4706
365,GP17-OCE_3_12,AL,0.0,-47.5,-147.5199
366,GP17-OCE_3_14,AL,9.637423999427334e-06,-52.312,-146.4033
367,GP17-OCE_3_16,AL,0.0,-54.9995,-145.6559
368,GP17-OCE_3_18,AL,0.0,-56.1052,-145.3377
369,GP17-OCE_3_20,AL,1.6050015526703398e-05,-57.6014,-144.8581
370,GP17-OCE_3_22,AL,3.736692118864475e-06,-59.9971,-143.9992
371,GP17-OCE_3_25,AL,5.0894321470086334e-05,-66.9998,-134.9994
372,GP17-OCE_3_27,AL,3.6881332784765985e-06,-67.0003,-115.0079
373,GP17-OCE_3_32,AL,4.820716130458705e-06,-59.9984,-82.4956
374,GP17-OCE_3_33,AL,0.0,-57.0001,-78.9996
375,GP17-OCE_3_35,AL,0.0,-54.3512,-76.5493
376,GP17-OCE_3_37,AL,0.0,-53.4991,-75.751
377,GP17-OCE_3_38,AL,0.0,-52.7019,-75.0972
378,GP15_3_3,AO,0.0,55.08013,-155.72003
379,GP15_3_4,AO,0.0,55.07994,-155.72033
380,GP15_3_5,AO,0.0,53.68004,-153.79988
381,GP15_3_6,AO,0.0,52.00014,-151.99978
382,GP15_3_8,AO,0.0,47.00009,-151.99986
383,GP15_3_9,AO,0.0,44.50019,-151.99984
