,stn,module,sum,lat,lon
169,GP15_3_4,"M00001,M00002,M00003,M00095",0.0,55.07994,-155.72033
170,GP15_3_5,"M00001,M00002,M00003,M00095",0.0,53.68004,-153.79988
171,GP15_3_6,"M00001,M00002,M00003,M00095",0.0,52.00014,-151.99978
172,GP15_3_8,"M00001,M00002,M00003,M00095",0.0,47.00009,-151.99986
173,GP15_3_9,"M00001,M00002,M00003,M00095",0.0,44.50019,-151.99984
174,GP15_3_10,"M00001,M00002,M00003,M00095",0.0,41.99998,-151.99985
175,GP15_3_12,"M00001,M00002,M00003,M00095",0.0,37.00007,-152.00017
176,GP15_3_14,"M00001,M00002,M00003,M00095",0.0,32.00006,-151.99991
177,GP15_3_15,"M00001,M00002,M00003,M00095",0.0,29.5003,-152.0005
178,GP15_3_16,"M00001,M00002,M00003,M00095",0.0,26.99984,-152.00004
179,GP15_3_18,"M00001,M00002,M00003,M00095",0.0,22.00015,-152.00005
180,GP15_3_18-3,"M00001,M00002,M00003,M00095",0.0,19.68113,-154.51301
181,GP15_3_19,"M00001,M00002,M00003,M00095",0.0,17.49998,-152.00007
182,GP15_3_21,"M00001,M00002,M00003,M00095",0.0,11.00013,-152.00001
183,GP15_3_23,"M00001,M00002,M00003,M00095",0.0,7.52686,-152.01638
184,GP15_3_25,"M00001,M00002,M00003,M00095",0.0,5.01547,-152.333
185,GP15_3_27,"M00001,M00002,M00003,M00095",0.0,2.49982,-152.01363
186,GP15_3_29,"M00001,M00002,M00003,M00095",0.0,0.032,-152.01378
187,GP15_3_31,"M00001,M00002,M00003,M00095",0.0,-2.50475,-152.00003
188,GP15_3_33,"M00001,M00002,M00003,M00095",0.0,-4.99972,-152.0347
189,GP15_3_35,"M00001,M00002,M00003,M00095",0.0,-10.49975,-151.99948
190,GP15_3_37,"M00001,M00002,M00003,M00095",0.0,-14.9986,-151.99808
191,GP15_3_39,"M00001,M00002,M00003,M00095",0.0,-19.99443,-152.09907
192,GP17-OCE_3_1,"M00001,M00002,M00003,M00095",0.0,-19.9999,-152.0003
193,GP17-OCE_3_3,"M00001,M00002,M00003,M00095",0.0,-24.9996,-151.25
194,GP17-OCE_3_6,"M00001,M00002,M00003,M00095",0.0,-32.5,-150.0012
195,GP17-OCE_3_8,"M00001,M00002,M00003,M00095",0.0,-37.5001,-149.2803
196,GP17-OCE_3_10,"M00001,M00002,M00003,M00095",0.0,-42.5003,-148.4706
197,GP17-OCE_3_12,"M00001,M00002,M00003,M00095",0.0,-47.5,-147.5199
198,GP17-OCE_3_14,"M00001,M00002,M00003,M00095",0.0,-52.312,-146.4033
199,GP17-OCE_3_16,"M00001,M00002,M00003,M00095",0.0,-54.9995,-145.6559
200,GP17-OCE_3_18,"M00001,M00002,M00003,M00095",0.0,-56.1052,-145.3377
201,GP17-OCE_3_20,"M00001,M00002,M00003,M00095",0.0,-57.6014,-144.8581
202,GP17-OCE_3_22,"M00001,M00002,M00003,M00095",0.0,-59.9971,-143.9992
203,GP17-OCE_3_25,"M00001,M00002,M00003,M00095",0.0,-66.9998,-134.9994
204,GP17-OCE_3_27,"M00001,M00002,M00003,M00095",0.0,-67.0003,-115.0079
205,GP17-OCE_3_32,"M00001,M00002,M00003,M00095",0.0,-59.9984,-82.4956
206,GP17-OCE_3_33,"M00001,M00002,M00003,M00095",0.0,-57.0001,-78.9996
207,GP17-OCE_3_35,"M00001,M00002,M00003,M00095",0.0,-54.3512,-76.5493
208,GP17-OCE_3_37,"M00001,M00002,M00003,M00095",3.727397357177164e-05,-53.4991,-75.751
209,GP17-OCE_3_38,"M00001,M00002,M00003,M00095",0.0,-52.7019,-75.0972
210,GP15_3_3,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,55.08013,-155.72003
211,GP15_3_4,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,55.07994,-155.72033
